C0274714,Adrenergic syndrome
C0600142,Hot flushes
C0596240,Cancer pain
C0014848,Esophageal Achalasia
C0014591,Epistaxis
C0343387,"Enterocolitis, Neutropenic"
C0013447,Ear Diseases
C0014118,Endocarditis
C0042790,Vision Disorders
C0043094,Weight Gain
C0028077,Night Blindness
C0032019,Pituitary Neoplasms
C0151559,Central nervous system depression (disorder)
C0003467,Anxiety
C0024902,Mastodynia
C0003460,Anuria
C1260922,Respiration abnormal
C0003469,Anxiety Disorders
C0240322,Menstruation delayed
C0151951,Thromboplastin decreased
C0857807,Accidental ingestion
C0231528,Myalgia
C0003862,Arthralgia
C0003860,Arteritis
C0003864,Arthritis
C0003868,"Arthritis, Gouty"
C0683278,Mental Suffering
C0035127,Cumulative Trauma Disorders
C0035436,Rheumatic Fever
C0032708,Disorders of Porphyrin Metabolism
C0035439,Rheumatic Heart Disease
C0741553,Hemorrhage abnormal
C0520575,Acute pyelonephritis
C0235086,Muscle contractions involuntary
C0018926,Hematemesis
C0017675,Glossitis
C0027121,Myositis
C0239233,Early satiety
C0947999,Blood urine present
C0151826,Retrosternal pain
C0151827,Eye pain
C0151824,Biliary Colic
C0151825,Bone pain
C0151821,Accidental overdose
C0151828,Injection site pain
C1565489,Renal Insufficiency
C0009917,Contracture
C0085271,Self-Injurious Behavior
C0151605,Injection site swelling
C0017566,Gingival Hyperplasia
C0151603,Anasarca
C0151601,Conjunctival oedema
C0028259,Nodule
C0085074,Granuloma Annulare
C0855242,Disturbance in sexual arousal
C0270611,Brain Injuries
C1963916,Diabetic peripheral neuropathic pain
C0234133,Extrapyramidal symptoms
C0006107,Brain Concussion
C0151738,Large intestine perforation
C0235409,Increased insulin requirement
C0151736,Accidental injury
C0151737,Intentional injury
C0151734,Injection site inflammation
C0151735,Injection site reaction
C0234974,Simple Partial Seizures
C0242422,Parkinsonian Disorders
C0085615,Right bundle branch block
C0085614,First degree atrioventricular block
C0085612,Ventricular arrhythmia
C0085611,Atrial arrhythmia
C0085610,Sinus bradycardia
C1262064,Oculogyration
C0242429,Sore Throat
C0085619,Orthopnea
C0855333,Electrocardiogram QT corrected interval prolonged
C0020453,Hyperesthesia
C0020456,Hyperglycemia
C0039103,Synovitis
C0020458,Hyperhidrosis disorder
C0027339,Nail Diseases
C0043349,Xerophthalmia
C0427055,Facial Paresis
C0240735,Personality change
C1761609,Aspiration pneumonitis
C0694549,Community acquired pneumonia
C0031350,Pharyngitis
C0546817,Fluid overload
C0007166,Low Cardiac Output
C0037763,Spasm
C0012739,Disseminated Intravascular Coagulation
C0085298,Sudden Cardiac Death
C0270769,Radiation myelopathy
C0024228,Lymphatic Diseases
C0024225,Lymphangitis
C0014335,Enteritis
C0027932,Neurotic Disorders
C0233488,Feeling despair
C0730362,Maculopathy
C1611174,Post-traumatic pain
C0235957,Muscle necrosis
C0162316,Iron deficiency anemia
C0151565,Hemorrhagic colitis
C0149512,Acute sinusitis
C0149514,Acute bronchitis
C0750876,Phlebitis superficial
C0029925,Ovarian Carcinoma
C0549433,Surgical intervention (finding)
C0541854,Daytime sleepiness
C0221333,Hypouricaemia
C0001824,Agranulocytosis
C0020672,"Hypothermia, natural"
C0279563,Lobular carcinoma in situ of breast
C0007760,Cerebellar Diseases
C0020676,Hypothyroidism
C0021099,Impetigo
C0029928,Ovarian Diseases
C0858093,Plasma calcium decreased
C0744727,Hematocrit decreased
C0474395,Behavior showing increased motor activity
C0021092,Impacted cerumen
C0860803,Glucose increased
C0241558,Hemorrhage of urethra
C0860801,Glucose low
C0037383,Sneezing
C0037384,Snoring
C0311394,Difficulty walking
C0038358,Gastric ulcer
C0235886,Leg edema
C0857496,Thromboembolic event
C0857494,Unresponsive to stimuli
C0039971,Thirst
C0686347,Tardive Dyskinesia
C1704212,Embolus
C0424295,Hyperactive behavior
C0857305,Thrombocytopenic purpura
C0259799,Punctate keratitis
C0221242,Fixed drug eruption
C0410256,Muscle injury
C0001127,"Acidosis, Respiratory"
C0001126,Renal tubular acidosis
C0001122,Acidosis
C0338113,Uterine Corpus Sarcoma
C0156394,Enlarged clitoris
C1704373,Compulsive Personality Disorder
C0019080,Hemorrhage
C0038220,Status Epilepticus
C0242891,Tooth Injuries
C0043145,Whiplash Injuries
C0043144,Wheezing
C0021308,Infarction
C0877406,Performance status decreased
C0973461,Dysphasia
C0178298,Skin and subcutaneous tissue disorders
C0039591,Pain in testicle
C2979982,Vaginal Hemorrhage
C0520933,Spermatogenesis abnormal
C0156404,Menstruation irregular
C0852792,Blood cortisol decreased
C0234913,Rash erythematous
C0239377,Arm Pain
C0014858,Esophageal motility disorders
C0234916,Rash follicular
C0000833,Abscess
C0232197,Cardiac fibrillation
C2981158,Lack of libido
C0853225,International normalised ratio increased
C0746883,Febrile Neutropenia
C0025222,Melena
C0023218,Cramps of lower extremities
C0746731,Acute myocardial ischemia
C0018681,Headache
C0017152,Gastritis
C0013456,Earache
C0856054,Mental status changes
C0033860,Psoriasis
C0175167,Acneiform Eruptions
C0151810,Lack of drug effect
C0426597,Fluid intake reduced
C0426596,Fluid intake increased
C0231530,Muscle twitch
C0151942,Arterial thrombosis
C0558401,Skin laceration
C0002878,"Anemia, Hemolytic"
C2609096,Genital hypoaesthesia
C0003873,Rheumatoid Arthritis
C0003872,"Arthritis, Psoriatic"
C0700184,Throat irritation
C0002871,Anemia
C0002874,Aplastic Anemia
C0856695,Acute exacerbation of chronic bronchitis
C0426732,Prostatomegaly
C1384606,Dyspareunia
C3495559,Juvenile arthritis
C0151838,Circumoral paresthesia
C0009768,Bacterial conjunctivitis
C0009766,Allergic Conjunctivitis
C0009763,Conjunctivitis
C0151836,Paranoid reaction
C0700361,Emotional distress
C0013295,Duodenal Ulcer
C0017979,Glycosuria
C1274594,Lichenoid keratosis
C0151544,Gastrointestinal carcinoma
C0151547,Cataract specified
C0151611,Electroencephalogram abnormal
C0151610,Tongue oedema
C0151613,Electrolyte abnormality
C0701836,Thermal burn
C0919715,Lupus-like syndrome
C0016512,Foot pain
C0017574,Gingivitis
C0011630,Dermatomycoses
C0011633,Dermatomyositis
C0085595,Body odor
C0085593,Chills
C0006118,Brain Neoplasms
C0028081,Night sweats
C0006114,Cerebral Edema
C0028084,Nightmares
C1455705,Pulmonary Histiocytosis X
C0235437,Gravitational oedema
C0494475,Tonic - clonic seizures
C0235431,Blood creatinine increased
C0151726,Injection site hypersensitivity
C0026858,Musculoskeletal Pain
C0235439,Ankle edema (finding)
C0006370,Bulimia
C0085628,Stupor
C0023798,Lipoma
C0085623,Akinesia
C0851578,Sleep Disorders
C0016199,Flank Pain
C0008677,"Bronchitis, Chronic"
C0221100,Hangover from any Alcohol or Other Drugs substance
C0020443,Hypercholesterolemia
C0013928,Fat embolism (disorder)
C0023646,Lichen Planus
C0013922,Embolism
C0040822,Tremor
C1761613,Conjunctival hyperemia
C1112442,Female sexual dysfunction
C1112443,Male sexual dysfunction
C0010346,Crohn Disease
C0740447,Diabetic peripheral neuropathy
C0038826,Superinfection
C0423729,Painful respiration
C0007971,Cheilitis
C1268766,Blood pressure alteration (finding)
C0427086,Involuntary Movements
C0242073,Pulmonary congestion
C2364164,Actual Impaired Fluid Volume
C0854100,Nitrogen balance negative
C0029118,Opportunistic Infections
C0221742,Serum sickness-like reaction
C0155626,Acute myocardial infarction
C1167686,Nail toxicity
C0233471,Flat affect
C0233472,Affect lability
C0860160,Diabetes mellitus inadequate control
C0581912,Sensation of heaviness
C0233477,Dysphoria
C0233479,Elevated mood
C0151699,Intracranial Hemorrhages
C0041981,Uric acid level increased
C0030252,Palpitations
C0149526,Allergic urticaria
C0333472,Epidermolysis
C0426576,Gastrointestinal symptom
C0149523,Acute cystitis
C0011168,Deglutition Disorders
C0041976,Urethritis
C0018798,Congenital Heart Defects
C0278080,Dependence physiological
C0232288,Chest pain exertional
C0423232,Corneal epithelial staining pattern
C0423234,Punctate epithelial erosion
C0027813,Neuritis
C0474381,Chromatopsia
C0001339,Pancreatitis acute
C0920289,Sluggishness
C0877322,Muscle tightness
C0019521,Hiccup
C0454643,Word finding difficulty (disorder)
C0024141,"Lupus Erythematosus, Systemic"
C2242621,Erection prolonged
C0589616,Genitourinary chlamydia infection
C0152002,Renal vasculitis
C0001807,Aggressive behavior
C0553548,Necrotizing Arteritis
C0541936,Enteritis ulcerative
C0239819,Edema hands
C0853149,Blood lactate dehydrogenase increased
C0239816,Hand dermatitis
C0522063,Impaired gastric emptying
C0035412,Rhabdomyosarcoma
C0004690,Balanitis
C0262385,Autonomic nervous system imbalance
C0442874,Neuropathy
C0005587,"Depression, Bipolar"
C0005586,Bipolar Disorder
C0162566,Porphyria Cutanea Tarda
C0042401,Vasodilation
C0033075,Presbyopia
C0877430,Asthma chronic
C0853034,Blood creatine phosphokinase increased
C0425481,Respiratory sighs
C0747256,Parasitic infection
C0014866,Esophageal Stenosis
C0234909,Nail changes
C0014863,Esophageal spasm
C0014868,Esophagitis
C0014869,Peptic Esophagitis
C0232459,Abnormal digestive tract function
C0863129,AGEP
C0549386,Sensation of warmth
C0549385,Feeling of body temperature change
C0085635,Photopsia
C3536794,Sad mood
C0043049,Water Intoxication
C0877055,Acute Generalized Exanthematous Pustulosis
C0017160,Gastroenteritis
C0227791,Vaginal Discharge
C0458631,Performance anxiety
C0017168,Gastroesophageal reflux disease
C0014488,Epicondylitis
C0853760,Blood potassium increased
C0235567,Excessive bronchial secretion
C0086692,Benign Neoplasm
C0340464,Premature Cardiac Complex
C0027497,Nausea
C0013595,Eczema
C0232981,Arrest of spermatogenesis
C0022658,Kidney Diseases
C0043167,Pertussis
C0022650,Kidney Calculi
C0029927,Ovarian Cysts
C0151998,Uterine spasm
C0151996,Uterine fibroids enlarged
C0020578,Hyperventilation
C0852361,Skin hemorrhages
C0017658,Glomerulonephritis
C0238033,Carcinoma of Male Breast
C0086769,Panic Attacks
C0151849,Alkaline phosphatase raised
C0743680,Eye oedema
C0151538,Buccoglossal syndrome
C0151539,Blood urea increased
C0086565,Liver Dysfunction
C2609445,Infusion site reactions (HT)
C0151664,Gastrointestinal perforation
C0264893,Nodal arrhythmia
C0151662,Gamma-glutamyltransferase increased
C0038506,Stuttering
C0011991,Diarrhea
C0151669,Gamma globulins increased
C0235198,Unable to concentrate
C0085584,Encephalopathies
C0085583,Choreoathetosis
C0085580,Essential Hypertension
C0235195,Sedated state
C0235194,Tranquillisation excessive
C0235196,Suicidal tendency
C0026848,Myopathy
C0026846,Muscular Atrophy
C0016167,Anal Fissure
C0031117,Peripheral Neuropathy
C0035410,Rhabdomyolysis
C0700225,Serum creatinine increased
C0549634,Lipids abnormal
C0009806,Constipation
C0085637,Oculogyric crisis
C0085636,Photophobia
C0085631,Agitation
C0016436,Folliculitis
C0085633,Mood swings
C0085632,Indifferent mood
C1096444,Altered visual depth perception
C0038436,Post-Traumatic Stress Disorder
C0038435,Stress
C0553731,PRL increased
C0020473,Hyperlipidemia
C0425945,Prolonged menses
C0694563,Excessive daytime somnolence
C2242996,Has tingling sensation
C0009938,Contusions
C1261981,Urticaria localised
C0009241,Cognition Disorders
C0497327,Dementia
C0595885,Serum potassium decreased
C0595883,Blood glucose decreased
C0011570,Mental Depression
C0392025,Enlargement abdomen
C0024205,Lymphadenitis
C0267940,Pancreatitis haemorrhagic
C0007097,Carcinoma
C0476280,Musculoskeletal chest pain
C0476281,Non-cardiac chest pain
C0332563,Papule
C1112214,Vulvovaginal pruritus
C0233469,Blunted affect
C2364082,Hyposmia
C0000786,Spontaneous abortion
C0239978,Frequent bowel movements
C2748060,Hypopnea syndrome
C0851989,Bone and joint infections
C0427546,Atypical lymphocyte observed
C0549418,Urine flow decreased
C0424166,Social fear
C0750857,Alkaline phosphatase serum increased
C0001925,Albuminuria
C1608945,Exfoliative rash
C0010481,Cushing Syndrome
C0267834,Hepatic cyst
C0011175,Dehydration
C0007780,Cerebral Embolism
C0007787,Transient Ischemic Attack
C0020877,Ileitis
C0007785,Cerebral Infarction
C0040580,Tracheal Diseases
C0040584,Tracheitis
C0240802,Pregnancy test positive
C0020651,"Hypotension, Orthostatic"
C0580413,Prothrombin time shortened
C0206160,Reticulocytosis
C0580417,International normalised ratio abnormal
C0026205,Miosis disorder
C0162285,Edema of eyelid
C1720798,Radiation Recall Dermatitis
C0162281,Corneal deposits
C0001818,Agoraphobia
C0085649,Peripheral edema
C0338656,Impaired cognition
C0549567,Pigmentation Disorders
C2711227,Steatohepatitis
C0748023,Bacterial prostatitis
C0221269,Pseudolymphoma
C0036830,Serum Sickness
C0541947,Excitation cerebral
C1611157,Hepatic infiltration eosinophilic
C0008325,Cholecystitis
C0005138,Berylliosis
C0429029,Electrocardiogram ST segment
C0586553,Thyrotropin high
C0262397,Breast tenderness
C0085932,"Skin Diseases, Bullous"
C0235996,Hepatic enzyme increased
C0262662,Ventricular bigeminy
C0853026,Porphyria non-acute
C0027796,Neuralgia
C0033246,Proctitis
C0162820,"Dermatitis, Allergic Contact"
C0008031,Chest Pain
C0008035,Chest wall pain
C0239150,Creatinine low
C0549399,Low density lipoprotein increased
C0549397,Nasal septum deviation
C0549391,Bladder discomfort
C0549393,Alcohol problem
C0153567,Uterine Cancer
C0877048,Oral fungal infection
C0025209,Melanosis
C0524662,Opiate Addiction
C0038395,Streptococcal Infections
C0025202,Melanoma
C0005959,Marrow hyperplasia
C0032827,Potassium Deficiency
C0028643,Numbness
C0032285,Pneumonia
C0275524,Coinfection
C0002418,Amblyopia
C0948525,Musculoskeletal stiffness
C0018378,Guillain-Barre Syndrome
C0018379,Guilt
C0040261,Onychomycosis
C0268732,Nephritic syndrome
C1332166,Adenocarcinoma of the gastroesophageal junction
C0852192,Asthenic conditions
C0271412,Ear haemorrhage
C1739422,Opioid naive
C1457883,Aggressive reaction
C0151854,Abnormal platelets
C0017178,Gastrointestinal Diseases
C0151529,Bleeding time prolonged
C0849918,Eyelids pruritus
C0151526,Premature Birth
C0151521,Overgrowth bacterial
C0011616,Contact Dermatitis
C0151671,Glucose tolerance decreased
C0011615,"Dermatitis, Atopic"
C0035579,Rickets
C1096616,Contralateral breast cancer
C0018800,Cardiomegaly
C0018801,Heart failure
C0018802,Congestive heart failure
C0023067,Laryngitis
C0080203,Tachyarrhythmia
C0860210,Granulomatous liver disease
C0026838,Muscle Spasticity
C0041747,Unplanned pregnancy
C0026837,Muscle Rigidity
C0392445,Necrobiosis Lipoidica Diabeticorum
C0235453,Steroid withdrawal syndrome
C0009326,Collagen Diseases
C0009324,Ulcerative Colitis
C0220650,Metastatic malignant neoplasm to brain
C0235293,Taste peculiar
C0235290,Taste bitter
C0235295,Abdominal distress
C0451641,Urolithiasis
C0343886,Gastrointestinal candidiasis
C0265110,Cerebral Vasospasm
C0549622,Sexual Dysfunction
C0339916,Viral upper respiratory tract infection
C0031256,Petechiae
C0032326,Pneumothorax
C0020461,Hyperkalemia
C1096272,Vanishing bile duct syndrome
C0037011,Shoulder Pain
C0003123,Anorexia
C0003126,Anosmia
C0026946,Mycoses
C0023467,"Leukemia, Myelocytic, Acute"
C0026948,Mycosis Fungoides
C0235074,Tongue paralysis
C0220994,Hyperammonemia
C0264886,Conduction disorder of the heart
C0007137,Squamous cell carcinoma
C0007131,Non-Small Cell Lung Carcinoma
C1167779,Neutropenic infection
C0242698,"Ventricular Dysfunction, Left"
C0235706,Back distress
C0038354,Stomach Diseases
C0016242,Vitreous floaters
C0221016,Red blood cell disorders
C0039621,Tetany
C0392699,Dysesthesia
C0031212,Personality Disorders
C0278151,Facial muscle spasm
C0027947,Neutropenia
C0007222,Cardiovascular Diseases
C0851536,Administration site reaction
C0233459,Emotional disorder
C0851444,Allergic conditions
C0221785,Ache wrists
C0239940,Glycosylated haemoglobin increased
C0151602,Swelling face
C0011644,Scleroderma
C0162529,"Colitis, Ischemic"
C0272195,Eosinopenia
C1956391,Temporal Arteritis
C0159056,Abnormal chest sounds
C0017565,Gingival Hemorrhage
C0314719,Dryness of eye
C0010709,Cyst
C0008301,Choking
C0233632,Disturbance in thinking
C0233633,Thought retardation
C0038663,Suicide attempt
C0038661,Suicide
C0023518,Leukocytosis
C0002957,Anger
C0020649,Hypotension
C0870082,Hyperkeratosis
C1443060,Feeling abnormal
C0541881,Difficulty focusing eyes
C0162298,Joint stiffness
C0162297,Respiratory arrest
C0034628,Radius Fractures
C0236720,Hallucinogen Persisting Perception Disorder
C0008513,Chorioretinitis
C3251821,Catatonic reaction
C0555971,Oral infection
C0221278,Anisocytosis
C2732728,Body height decreased
C0014394,Enuresis
C0152198,Accommodation disorder
C0015263,"Bronchospasm, Exercise-Induced"
C0391839,Partial pressure CO2 result
C0239833,Hand pain
C0728899,Intoxication
C0424000,Feeling suicidal (finding)
C1704321,"Nephrotic Syndrome, Minimal Change"
C0019348,Herpes Simplex Infections
C0043117,"Purpura, Thrombocytopenic, Idiopathic"
C0042420,Vasovagal syncope
C0019340,Herpes
C0025320,Menopause
C0025323,Menorrhagia
C0553690,Reversible ischemic neurologic deficit (R.I.N.D.) syndrome
C0152517,Viral diarrhoea
C0004238,Atrial Fibrillation
C0004239,Atrial Flutter
C0332534,Induration
C0079102,Cerebral Thrombosis
C0853019,Blood thyroid stimulating hormone increased
C0021359,Infertility
C0276680,Candida albicans infection
C0002064,"Alkalosis, Respiratory"
C0002063,Alkalosis
C0410198,Proximal myopathy
C0162830,"Dermatitis, Phototoxic"
C0856882,Potassium increased
C0520806,"Sudden death, cause unknown"
C0162834,Hyperpigmentation
C0027540,Necrosis
C0403673,Retrograde ejaculation
C0085819,Antibiotic-Associated Colitis
C0231749,Knee pain
C0013604,Edema
C0235401,Glucose tolerance abnormal
C0232431,Cold sweat
C1609496,Eyelid exfoliation
C0687133,Drug Interactions
C0005944,Metabolic Bone Disorder
C0015469,Facial paralysis
C0334082,"NEVUS, EPIDERMAL (disorder)"
C0005940,Bone Diseases
C0042514,"Tachycardia, Ventricular"
C0159877,Ankle Fractures
C0521509,Injection site induration
C0853908,Oropharyngeal swelling
C0042510,Ventricular Fibrillation
C0032290,Aspiration Pneumonia
C2939147,Feels hot
C0022073,Iridocyclitis
C0577115,Soft stool (finding)
C0014733,Erysipelas
C0013428,Dysuria
C1456784,Paranoia
C0522224,Paralysed
C0002792,Anaphylaxis
C0087169,Withdrawal Symptoms
C0043241,Wound Infection
C0853348,Arthropod bite
C0002880,Autoimmune hemolytic anemia
C0232726,Rectal tenesmus
C0002884,Hypochromic anemia
C0002888,"Anemia, Megaloblastic"
C0151467,Addisonian crisis
C0151463,Breast abscess
C0232943,Menometrorrhagia
C0878544,Cardiomyopathies
C0022104,Irritable Bowel Syndrome
C0007095,Carcinoid Tumor
C0022107,Irritable Mood
C0018965,Hematuria
C1696701,Dermatillomania
C0595929,Cholesterol serum elevated
C0024894,Mastitis
C0022661,"Kidney Failure, Chronic"
C0027769,Nervousness
C0238051,Cerebral Angiitis
C0231365,Alteration in patterns of urinary elimination
C0027765,Nervous system disorder
C0151510,Adrenal cortex atrophy
C0151511,Atrophy of breast
C0849907,Ear pruritus
C0151517,Complete atrioventricular block
C0151514,Atrophic condition of skin
C0013132,Drooling
C0086543,Cataract
C0151888,Hyporeflexia
C0151889,Hyperreflexia
C0011606,Exfoliative dermatitis
C0011603,Dermatitis
C1306341,Mental handicap
C0151882,Purpuric rash
C0151883,Vesiculobullous rash
C0011609,Drug Eruptions
C3203358,Hypoventilation
C0544618,Orthostatic hypertension
C0346647,Malignant neoplasm of pancreas
C0877854,Cerebral Arteriosclerosis
C0018813,Myocardial rupture
C0006142,Malignant neoplasm of breast
C0860207,Drug-Induced Liver Injury
C0009319,Colitis
C0006147,Breast Feeding
C0006145,Breast Diseases
C0026827,Muscle hypotonia
C0026826,Muscle Hypertonia
C0026821,Muscle Cramp
C0948266,Latent tetany
C3665347,Visual Impairment
C1096282,Medication residue
C0018418,Gynecomastia
C0235280,Ototoxicity
C0700200,Presyncope
C0235667,Mastitis acute female
C1320835,Drug fever
C0235660,Galactorrhea not associated with childbirth
C0919659,Oropharyngeal candidiasis
C0948281,Malignant syndrome
C0042998,Vulvovaginitis
C0520573,Buffalo hump
C0270549,Generalized Anxiety Disorder
C0007302,Cartilage Diseases
C0476254,Dyslexia
C0235063,Respiratory Depression
C0235068,"Scotoma, Scintillating"
C0007124,Noninfiltrating Intraductal Carcinoma
C0243026,Sepsis
C0235710,Chest discomfort
C0011551,Depersonalization
C0020452,Hyperemia
C0010828,Cytopenia
C0041349,"Nephritis, Tubulointerstitial"
C0730328,Central Serous Chorioretinopathy
C0155616,Secondary hypertension
C0029163,Oral Hemorrhage
C0233414,Disturbance in attention
C0020255,Hydrocephalus
C0392684,Pulse irregular
C0541941,Erection increased
C0281774,Acute psychosis
C0281773,Acute glaucoma
C0006325,Bruxism
C0025637,Methemoglobinemia
C0423602,Sensation of foreign body
C0234533,Generalized seizures
C0234535,"Seizures, Clonic"
C1262535,Jaundice hepatocellular
C0037036,Sialorrhea
C0162119,Haemoglobin decreased
C0349231,Phobic anxiety disorder
C0595930,Blood cholesterol increased
C0024312,Lymphopenia
C0341742,Acute retention of urine
C0020639,Hypoproteinemia
C1735647,Mixed liver injury
C0234047,Ejaculation delayed
C0036980,"Shock, Cardiogenic"
C0036454,Scotoma
C0235848,Skin cold clammy
C0008526,Choroiditis
C0034634,Rage
C0238106,Clostridium difficile colitis
C0149866,Chemical conjunctivitis
C0476089,Endometrial Carcinoma
C0155169,Ocular hyperemia
C0233715,Speech impairment
C0221201,Macular rash
C0233718,Pressure of speech
C0522055,Electrocardiogram abnormal
C0520966,Abnormal coordination
C0520962,Pain localised
C0553732,Prothrombin level decreased
C0857121,Hypertensive (finding)
C0015256,Excoriation
C0001622,Adrenal Gland Hyperfunction
C0522058,Carbohydrate craving
C0851710,Exfoliative conditions
C2830004,Somnolence
C0010043,Corneal Ulcer
C0236663,Alcohol withdrawal syndrome
C0085166,Bacterial Vaginosis
C0272774,Foot fracture
C0239488,Erythema facial
C0221512,Stomach ache
C0178416,Hypoplastic anemia
C0178417,Anhedonia
C0015672,Fatigue
C0877664,Gastrointestinal cramps
C1510410,Sense of smell altered
C0151830,Pain in urethra
C0236124,Gastrointestinal obstruction
C0858589,Coordination disturbance
C0549376,Plasma osmolality decreased
C0549374,Lumbar disc lesion
C0281825,Dysequilibrium
C0042075,Urologic Diseases
C0948294,Eyelid margin crusting
C0342257,Complications of Diabetes Mellitus
C0014724,Eructation
C0013384,Dyskinetic syndrome
C0032519,Polymenorrhea
C0151898,Schizophrenic reaction
C0853755,Blood osmolarity decreased
C0015923,Fetal Alcohol Syndrome
C0015927,Fetal Death
C0600041,Infective cystitis
C0149745,Oral Ulcer
C0241310,Suprapubic pain
C0035459,"Rhinitis, Atrophic"
C0043251,Wounds and Injuries
C0043250,Injury wounds
C0917798,Cerebral Ischemia
C0917799,Hypersomnia
C0274435,Transfusion Reaction
C0022660,"Kidney Failure, Acute"
C0022665,Kidney Neoplasm
C0272426,Mouth injury
C0017601,Glaucoma
C0017605,Angle Closure Glaucoma
C0022116,Ischemia
C0028754,Obesity
C0151872,Prothrombin level increased
C0151878,Electrocardiogram QT prolonged
C0151505,Application site reaction
C0231170,Disability
C0151500,Anticholinergic Syndrome
C0013144,Drowsiness
C0150055,Chronic pain
C0013146,Drug abuse
C0854114,Corneal epithelium defect
C0151899,Syndrome screaming
C0009782,Connective Tissue Diseases
C0026764,Multiple Myeloma
C0026766,Multiple Organ Failure
C0006152,Breast swelling
C0026769,Multiple Sclerosis
C0151479,Amylase increased
C0151478,Neurotransmitter level altered
C0231710,Pain in buttock
C1522133,Hypercholesterolemia result
C0600260,"Lung Diseases, Obstructive"
C0032776,Postmenopausal haemorrhage
C0151474,Alcohol intolerance
C0151477,Hormone level abnormal
C0009492,Compartment syndromes
C0750426,White blood cell count increased (lab result)
C0917801,Sleeplessness
C0235490,Peripheral ischaemia
C0242459,Simple Pulmonary Eosinophilia
C0035204,Respiration Disorders
C0574002,Edema of foot (finding)
C0948296,Ear discomfort
C1096250,Gastrointestinal discomfort
C0034359,Pyuria
C0694536,Drug seeking behavior
C0028173,"Nitrogen, non-protein, increased level result"
C0235475,Electrocardiogram QRS complex prolonged
C0041657,Unconscious State
C0525045,Mood Disorders
C3544214,Reversible cerebral vasoconstriction syndrome
C0026961,Mydriasis
C0234632,Visual acuity reduced
C0270846,Atonic seizures
C0007682,CNS disorder
C0542052,Coronary artery insufficiency
C0339807,House dust allergy
C0748726,Allergic sinusitis
C0278134,Absence of sensation
C0744130,Diabetic foot infection
C0702166,Acne
C0238309,Ischaemic neuropathy
C0242528,Azotemia
C0476273,Respiratory distress
C0235270,Keratopathy
C0392674,Exhaustion
C0392676,Hyperpyrexia
C0948856,Orgasmic sensation decreased
C0023222,Pain in lower limb
C0854382,Libido disorder
C0854381,Genital hemorrhage
C0020538,Hypertensive disease
C0338908,Anxiety depression
C0271429,Otitis media acute
C0235653,Malignant neoplasm of female breast
C0234708,Intraocular pressure increased
C1619712,Procedural pain
C0037023,Sialadenitis
C0542476,Forgetfulness
C1145628,Autonomic nervous system disorders
C0585186,Cutaneous hypersensitivity
C0011124,Decreased Libido
C0542184,Reaction gastrointestinal
C1386135,Acute depression
C0595928,Serum calcium increased
C0020625,Hyponatremia
C0020624,Hypomenorrhea
C0020621,Hypokalemia
C0020620,Hypohidrosis
C0023532,"Leukoplakia, Oral"
C0023533,Leukorrhea
C0023530,Leukopenia
C0744403,Gingival infection
C0004144,Atelectasis
C0151904,Aspartate aminotransferase increased
C0239725,Genital pain
C0235876,Depression aggravated
C0920171,Foreign body sensation in eyes
C0235874,Disease Exacerbation
C0548823,Distress gastrointestinal
C0034642,Rales
C0024437,Macular degeneration
C0233767,"Hallucinations, Tactile"
C0233762,"Hallucinations, Auditory"
C0233763,"Hallucinations, Visual"
C0434437,Joint sprain
C0860942,Creatine increased
C0553721,Sweating decreased
C0034212,Pyoderma
C0038273,Stereotypic Movement Disorder
C0232849,Bladder pain
C0019360,Herpes zoster disease
C0033036,Atrial Premature Complexes
C0019364,Herpes Zoster Ophthalmicus
C0015397,Disorder of eye
C0033038,Premature Ejaculation
C0041948,Uremia
C0015393,Eye Abnormalities
C0011263,Multi-infarct dementia
C0877046,Tooth infection
C0015663,Fasting
C0267797,Hepatitis acute
C0014534,Epididymitis
C0853619,Local swelling
C0033581,Prostatitis
C1960870,Transformed migraine
C0015806,Femoral Neck Fractures
C1263846,Attention deficit hyperactivity disorder
C0239454,Erythema of eyelid
C0035305,Retinal Detachment
C0549346,Ischial neuralgia
C0022904,Lacrimal Apparatus Diseases
C0022906,Lacrimal Duct Obstruction
C0237938,Gastrointestinal ulcer
C1971624,Loss of appetite (finding)
C0877014,Sympathomimetic Effect
C0042063,Urogenital Abnormalities
C0025274,Menarche
C0152227,Excessive tearing
C0221727,Pain in esophagus (finding)
C0008311,Cholangitis
C0028960,Oligospermia
C0028961,Oliguria
C0003910,Articulation Disorders
C0156543,Unspecified Abortion
C0013395,Dyspepsia
C0013390,Dysmenorrhea
C3665346,Unspecified visual loss
C0949083,Nosocomial pneumonia
C0236068,Swollen tongue
C0947858,Anaphylactic responses
C0836924,Thrombocytosis
C0032617,Polyuria
C0018818,Ventricular Septal Defects
C1959622,Vein engorged (finding)
C0948594,Musculoskeletal discomfort
C0948595,Ocular discomfort
C0018944,Hematoma
C0018946,"Hematoma, Subdural"
C0040137,Thyroid Nodule
C0027707,"Nephritis, Interstitial"
C0028768,Obsessive-Compulsive Disorder
C0856171,Coronary artery disease aggravated
C0948441,Venoocclusive disease
C0948447,Chromosomal mutation
C0410158,Muscle damage
C0024138,"Lupus Erythematosus, Discoid"
C0519030,Pneumonia due to Klebsiella pneumoniae
C0013404,Dyspnea
C0151313,Sensory neuropathy
